iter	Passed	Remaining
0	293	293148
1	294	147063
2	295	98281
3	296	73887
4	297	59259
5	299	49608
6	300	42628
7	301	37393
8	302	33319
9	303	30066
10	304	27395
11	305	25170
12	306	23307
13	308	21694
14	309	20296
15	310	19071
16	311	17992
17	313	17085
18	314	16236
19	315	15471
20	317	14780
21	318	14141
22	319	13557
23	320	13028
24	321	12533
25	322	12077
26	323	11654
27	324	11260
28	325	10892
29	327	10577
30	328	10256
31	328	9952
32	329	9666
33	330	9393
34	331	9135
35	332	8891
36	332	8661
37	333	8445
38	334	8238
39	335	8041
40	335	7856
41	336	7677
42	337	7508
43	338	7345
44	338	7190
45	339	7041
46	340	6898
47	342	6786
48	343	6657
49	343	6531
50	344	6410
51	345	6294
52	346	6186
53	346	6078
54	347	5974
55	348	5873
56	349	5776
57	349	5683
58	350	5593
59	351	5505
60	352	5420
61	352	5338
62	353	5259
63	354	5182
64	355	5120
65	356	5048
66	357	4977
67	358	4909
68	358	4842
69	359	4781
70	360	4719
71	361	4658
72	362	4598
73	362	4540
74	363	4484
75	364	4430
76	365	4377
77	365	4325
78	366	4274
79	367	4224
80	368	4176
81	368	4129
82	369	4080
83	371	4047
84	372	4005
85	372	3962
86	373	3920
87	374	3879
88	375	3839
89	375	3799
90	376	3761
91	377	3723
92	378	3686
93	378	3650
94	379	3615
95	380	3580
96	380	3546
97	381	3513
98	382	3480
99	383	3449
100	383	3417
101	384	3386
102	386	3364
103	387	3335
104	387	3306
105	388	3277
106	389	3250
107	390	3222
108	390	3195
109	391	3168
110	392	3142
111	393	3115
112	393	3090
113	394	3065
114	395	3040
115	395	3016
116	396	2991
117	397	2968
118	397	2945
119	398	2922
120	399	2901
121	402	2893
122	402	2873
123	403	2853
124	404	2833
125	406	2816
126	406	2795
127	407	2775
128	408	2756
129	408	2736
130	409	2716
131	410	2697
132	410	2679
133	411	2660
134	412	2642
135	413	2624
136	413	2606
137	414	2589
138	416	2577
139	417	2562
140	418	2547
141	418	2529
142	419	2513
143	420	2497
144	420	2480
145	421	2465
146	422	2450
147	423	2435
148	423	2420
149	424	2405
150	425	2390
151	425	2376
152	426	2361
153	427	2347
154	428	2335
155	429	2324
156	432	2320
157	433	2309
158	434	2297
159	435	2285
160	435	2271
161	436	2258
162	437	2245
163	438	2232
164	438	2220
165	439	2208
166	440	2195
167	440	2183
168	441	2172
169	442	2160
170	443	2148
171	443	2137
172	444	2125
173	446	2119
174	447	2108
175	447	2097
176	448	2086
177	449	2074
178	450	2064
179	450	2053
180	451	2042
181	452	2032
182	452	2021
183	453	2011
184	454	2001
185	454	1991
186	455	1982
187	456	1972
188	457	1963
189	458	1953
190	459	1944
191	459	1934
192	461	1929
193	462	1920
194	462	1911
195	463	1902
196	464	1892
197	465	1884
198	465	1875
199	466	1866
200	467	1858
201	468	1849
202	468	1840
203	470	1834
204	470	1825
205	471	1817
206	472	1810
207	473	1802
208	474	1794
209	475	1789
210	476	1781
211	477	1773
212	477	1765
213	478	1758
214	479	1750
215	480	1742
216	480	1735
217	481	1727
218	482	1719
219	483	1713
220	484	1706
221	484	1698
222	485	1691
223	486	1684
224	486	1677
225	487	1670
226	488	1662
227	489	1656
228	490	1649
229	491	1645
230	492	1638
231	492	1631
232	493	1625
233	494	1618
234	495	1611
235	495	1604
236	496	1598
237	497	1591
238	498	1585
239	498	1579
240	499	1572
241	500	1566
242	500	1560
243	501	1554
244	502	1548
245	503	1541
246	503	1535
247	504	1529
248	506	1526
249	507	1521
250	507	1515
251	508	1510
252	509	1504
253	510	1498
254	511	1492
255	512	1488
256	512	1482
257	513	1477
258	514	1471
259	515	1465
260	515	1460
261	516	1454
262	517	1449
263	517	1444
264	518	1438
265	519	1433
266	520	1429
267	521	1425
268	522	1419
269	523	1414
270	523	1409
271	524	1404
272	525	1399
273	526	1393
274	526	1389
275	527	1384
276	528	1379
277	529	1374
278	529	1369
279	530	1364
280	531	1359
281	532	1354
282	532	1349
283	533	1344
284	534	1339
285	534	1335
286	536	1333
287	537	1329
288	538	1324
289	539	1319
290	539	1315
291	540	1311
292	541	1306
293	542	1302
294	542	1297
295	543	1293
296	544	1288
297	545	1284
298	545	1279
299	546	1275
300	547	1270
301	547	1266
302	548	1262
303	549	1257
304	550	1253
305	551	1251
306	552	1247
307	553	1244
308	555	1242
309	562	1251
310	572	1268
311	573	1264
312	574	1260
313	575	1256
314	576	1252
315	576	1248
316	577	1244
317	578	1240
318	579	1236
319	579	1232
320	580	1227
321	581	1223
322	582	1221
323	583	1218
324	584	1214
325	585	1211
326	586	1207
327	587	1203
328	588	1200
329	589	1196
330	589	1192
331	590	1188
332	591	1184
333	591	1180
334	592	1176
335	593	1172
336	594	1168
337	594	1164
338	595	1160
339	596	1157
340	597	1154
341	598	1150
342	598	1147
343	599	1143
344	600	1139
345	601	1136
346	601	1132
347	602	1128
348	603	1125
349	603	1121
350	604	1117
351	605	1114
352	605	1110
353	606	1107
354	607	1103
355	608	1100
356	608	1096
357	609	1093
358	610	1089
359	612	1088
360	613	1085
361	614	1082
362	615	1079
363	615	1076
364	616	1072
365	617	1069
366	618	1066
367	618	1062
368	619	1059
369	620	1056
370	621	1052
371	621	1049
372	622	1046
373	623	1043
374	623	1039
375	624	1036
376	625	1033
377	627	1033
378	628	1030
379	629	1027
380	630	1024
381	631	1021
382	632	1018
383	633	1015
384	633	1012
385	634	1009
386	635	1006
387	636	1003
388	636	1000
389	637	997
390	638	994
391	638	990
392	639	988
393	640	985
394	642	983
395	643	980
396	643	977
397	644	974
398	645	971
399	645	968
400	646	965
401	647	963
402	648	960
403	648	957
404	649	954
405	650	951
406	650	948
407	651	945
408	652	942
409	653	939
410	653	937
411	654	934
412	655	931
413	657	929
414	657	927
415	658	924
416	659	921
417	659	918
418	660	916
419	661	913
420	662	910
421	662	907
422	663	904
423	664	902
424	664	899
425	665	896
426	666	894
427	666	891
428	667	889
429	668	886
430	669	883
431	670	881
432	671	879
433	672	877
434	673	874
435	674	871
436	674	869
437	675	866
438	676	864
439	676	861
440	677	859
441	678	856
442	679	853
443	679	851
444	680	848
445	681	846
446	682	843
447	682	841
448	683	838
449	684	836
450	684	833
451	685	831
452	687	829
453	687	827
454	688	824
455	689	822
456	689	819
457	690	817
458	691	814
459	692	812
460	692	810
461	693	807
462	694	805
463	695	803
464	697	802
465	710	813
466	712	813
467	713	811
468	714	809
469	715	807
470	717	805
471	718	803
472	719	801
473	720	799
474	721	797
475	722	795
476	723	793
477	724	791
478	725	789
479	726	787
480	727	784
481	728	782
482	728	780
483	729	777
484	730	775
485	731	773
486	731	770
487	733	769
488	733	766
489	734	764
490	735	762
491	736	759
492	736	757
493	737	755
494	738	753
495	739	751
496	739	748
497	740	746
498	741	744
499	742	742
500	742	739
501	743	737
502	744	735
503	744	733
504	745	730
505	746	728
506	747	727
507	748	725
508	749	722
509	750	720
510	750	718
511	751	716
512	752	714
513	753	712
514	753	709
515	754	707
516	755	705
517	756	703
518	756	701
519	757	699
520	758	697
521	758	694
522	759	692
523	760	690
524	761	688
525	762	686
526	763	685
527	764	683
528	765	681
529	766	679
530	766	677
531	767	675
532	768	673
533	769	671
534	769	669
535	770	667
536	771	665
537	772	663
538	773	661
539	774	659
540	775	657
541	775	655
542	778	654
543	779	653
544	780	651
545	781	649
546	782	648
547	783	646
548	784	644
549	785	642
550	785	640
551	786	638
552	787	636
553	788	634
554	789	632
555	790	631
556	791	629
557	791	627
558	793	625
559	794	623
560	794	621
561	795	619
562	796	617
563	796	616
564	797	614
565	798	612
566	799	610
567	799	608
568	800	606
569	801	604
570	802	602
571	802	600
572	803	598
573	804	596
574	805	595
575	805	593
576	807	592
577	808	590
578	809	588
579	810	586
580	811	585
581	812	583
582	812	581
583	813	579
584	814	577
585	814	575
586	815	573
587	816	572
588	817	570
589	817	568
590	818	566
591	819	564
592	820	563
593	822	562
594	823	560
595	823	558
596	824	556
597	825	554
598	826	553
599	826	551
600	827	549
601	828	547
602	828	545
603	829	543
604	830	542
605	831	540
606	831	538
607	832	536
608	833	535
609	834	533
610	834	531
611	837	530
612	847	535
613	849	533
614	850	532
615	851	530
616	852	529
617	853	527
618	854	526
619	855	524
620	856	522
621	857	521
622	858	519
623	858	517
624	859	515
625	860	513
626	860	512
627	861	510
628	862	508
629	863	506
630	863	505
631	864	503
632	866	502
633	868	501
634	869	499
635	870	498
636	871	496
637	871	494
638	872	493
639	873	491
640	874	489
641	874	487
642	875	486
643	876	484
644	877	482
645	877	480
646	878	479
647	879	477
648	880	475
649	880	474
650	881	472
651	882	471
652	883	469
653	884	468
654	885	466
655	886	464
656	886	463
657	887	461
658	888	459
659	889	458
660	889	456
661	890	454
662	891	453
663	891	451
664	892	449
665	893	448
666	894	446
667	895	444
668	895	443
669	896	441
670	898	440
671	899	438
672	900	437
673	901	435
674	901	434
675	902	432
676	903	431
677	904	429
678	904	427
679	905	426
680	906	424
681	906	422
682	907	421
683	908	419
684	909	418
685	909	416
686	910	414
687	911	413
688	912	411
689	913	410
690	914	408
691	914	407
692	915	405
693	916	404
694	917	402
695	917	400
696	918	399
697	919	397
698	920	396
699	920	394
700	921	393
701	922	391
702	923	390
703	923	388
704	924	386
705	925	385
706	925	383
707	926	382
708	928	381
709	929	379
710	929	377
711	930	376
712	931	374
713	932	373
714	932	371
715	933	370
716	934	368
717	935	367
718	935	365
719	936	364
720	937	362
721	937	361
722	938	359
723	939	358
724	940	356
725	940	355
726	941	353
727	942	352
728	943	350
729	944	349
730	945	347
731	946	346
732	946	344
733	947	343
734	948	341
735	949	340
736	949	338
737	950	337
738	951	336
739	952	334
740	952	333
741	953	331
742	954	330
743	954	328
744	955	327
745	956	325
746	958	324
747	958	323
748	959	321
749	960	320
750	960	318
751	961	317
752	962	315
753	963	314
754	964	312
755	964	311
756	965	309
757	966	308
758	967	307
759	967	305
760	968	304
761	969	302
762	969	301
763	970	299
764	971	298
765	972	296
766	973	295
767	974	294
768	975	292
769	975	291
770	976	290
771	977	288
772	989	290
773	991	289
774	992	288
775	993	286
776	994	285
777	995	284
778	996	282
779	996	281
780	997	279
781	998	278
782	999	276
783	999	275
784	1000	274
785	1001	272
786	1001	271
787	1002	269
788	1004	268
789	1005	267
790	1006	266
791	1007	264
792	1008	263
793	1009	261
794	1010	260
795	1011	259
796	1011	257
797	1012	256
798	1013	254
799	1014	253
800	1014	252
801	1015	250
802	1016	249
803	1016	247
804	1017	246
805	1019	245
806	1020	244
807	1021	242
808	1022	241
809	1022	239
810	1023	238
811	1024	237
812	1025	235
813	1025	234
814	1026	233
815	1027	231
816	1028	230
817	1028	228
818	1029	227
819	1030	226
820	1031	224
821	1031	223
822	1032	222
823	1035	221
824	1035	219
825	1036	218
826	1037	216
827	1037	215
828	1038	214
829	1039	212
830	1040	211
831	1040	210
832	1041	208
833	1042	207
834	1043	206
835	1043	204
836	1044	203
837	1045	202
838	1045	200
839	1046	199
840	1047	198
841	1049	196
842	1049	195
843	1050	194
844	1051	192
845	1052	191
846	1052	190
847	1053	188
848	1054	187
849	1055	186
850	1055	184
851	1056	183
852	1057	182
853	1057	180
854	1058	179
855	1059	178
856	1060	176
857	1060	175
858	1061	174
859	1062	172
860	1063	171
861	1064	170
862	1065	169
863	1066	167
864	1067	166
865	1067	165
866	1068	163
867	1069	162
868	1069	161
869	1070	159
870	1071	158
871	1071	157
872	1072	156
873	1073	154
874	1074	153
875	1074	152
876	1075	150
877	1076	149
878	1077	148
879	1079	147
880	1080	145
881	1080	144
882	1081	143
883	1082	142
884	1082	140
885	1083	139
886	1084	138
887	1085	136
888	1085	135
889	1086	134
890	1087	133
891	1087	131
892	1088	130
893	1089	129
894	1090	127
895	1091	126
896	1092	125
897	1092	124
898	1094	122
899	1095	121
900	1096	120
901	1097	119
902	1097	117
903	1098	116
904	1099	115
905	1099	114
906	1100	112
907	1101	111
908	1102	110
909	1102	109
910	1103	107
911	1104	106
912	1105	105
913	1105	104
914	1106	102
915	1107	101
916	1108	100
917	1109	99
918	1110	97
919	1111	96
920	1111	95
921	1112	94
922	1113	92
923	1113	91
924	1114	90
925	1115	89
926	1116	87
927	1116	86
928	1117	85
929	1118	84
930	1119	82
931	1131	82
932	1132	81
933	1133	80
934	1135	78
935	1136	77
936	1137	76
937	1138	75
938	1139	74
939	1141	72
940	1142	71
941	1142	70
942	1143	69
943	1144	67
944	1145	66
945	1146	65
946	1147	64
947	1148	62
948	1148	61
949	1149	60
950	1150	59
951	1151	58
952	1152	56
953	1153	55
954	1154	54
955	1156	53
956	1157	51
957	1158	50
958	1159	49
959	1159	48
960	1160	47
961	1161	45
962	1162	44
963	1162	43
964	1163	42
965	1164	40
966	1165	39
967	1165	38
968	1166	37
969	1167	36
970	1168	34
971	1168	33
972	1169	32
973	1170	31
974	1171	30
975	1172	28
976	1173	27
977	1174	26
978	1174	25
979	1175	23
980	1176	22
981	1177	21
982	1178	20
983	1178	19
984	1179	17
985	1180	16
986	1180	15
987	1181	14
988	1182	13
989	1183	11
990	1184	10
991	1185	9
992	1186	8
993	1187	7
994	1188	5
995	1188	4
996	1189	3
997	1190	2
998	1191	1
999	1192	0
