iter	Passed	Remaining
0	1	122
1	2	136
2	5	175
3	6	149
4	9	176
5	10	161
6	11	153
7	12	145
8	13	138
9	16	144
10	19	154
11	21	157
12	22	149
13	23	143
14	24	137
15	25	131
16	26	127
17	26	122
18	27	118
19	28	115
20	29	111
21	30	108
22	31	105
23	32	102
24	33	101
25	35	100
26	36	98
27	37	96
28	38	95
29	42	99
30	43	97
31	45	95
32	46	94
33	47	92
34	49	91
35	50	88
36	50	86
37	51	84
38	52	82
39	53	80
40	54	79
41	55	76
42	56	74
43	57	72
44	58	70
45	58	69
46	59	67
47	60	65
48	61	64
49	62	62
50	63	61
51	64	59
52	65	58
53	66	56
54	67	55
55	68	53
56	69	52
57	70	50
58	71	49
59	72	48
60	73	46
61	73	45
62	74	43
63	75	42
64	76	41
65	77	40
66	78	38
67	79	37
68	80	36
69	81	35
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	89	25
78	90	23
79	91	22
80	91	21
81	92	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	100	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
